date,C,BAC,JPM,WFC,UBS,WB,AXP,RY,DB,TBBK,TD,BNS,FNM,BK,FRE,BMO,BCM,STI,STT,COF,PNC,BBK,RF,SLM,NCC,GS,MS,MER,BEN,SCHW,CME,BLK,TROW,LM,AMTD,ETFC,AB,SEIC,NDAQ,JNS,EV,FII,RJF,IVZ,AMG,JEF,IDC,MORN,WDR,LAZ,AIG,UNH,MFC,MET,PRU,ALL,TRV,AFL,HIG,SLF,AET,CB,ACE,PGR,MMC,LNC,PFG,L,CI,GNW,AON,XL,HUM,CNA,CVH
3/13/2001,-0.0845216,-0.054562195,-0.101476819,-0.052578407,-0.083117759,-0.007035777,-0.104732176,-0.025856533,NA,-0.038073393,-0.042195707,NA,0.011826564,-0.067088612,-0.00239613,-0.047917088,-0.018955892,-0.034996202,-0.097236655,-0.064930369,-0.036197735,-0.017714255,-0.076131687,0.024734549,-0.02489626,-0.005142322,-0.042372881,0.013636364,-0.045331366,-0.054504981,NA,-0.071813361,-0.087344029,0.026339057,0.009345794,-0.024836608,-0.03236832,-0.055652174,NA,-0.025130866,0.024052703,0.029356443,-0.036517797,-0.099331675,-0.03681858,0.041666652,-0.043731778,NA,-0.065959555,NA,-0.022083994,-0.036502572,-0.049168206,-0.141414126,NA,-0.02025837,-0.051068626,-0.11324893,-0.06954885,-0.048969014,0.00838965,-0.023713229,-0.080743713,-0.068326319,-0.029183274,-0.106070276,NA,-0.050487313,-0.047833962,NA,-0.033286675,-0.027831735,-0.082307668,-0.058711601,-0.110294118
3/20/2001,0.048532767,0.062195332,0.018079372,0.037139845,0.02292769,0.008009924,0.063858359,0.012276073,NA,0.115402964,0.021832338,NA,-0.002597363,0.092265896,-0.020816641,0.033689388,0.01045296,0.000954372,0.069620199,0.053771736,0.016569343,0.003781188,0.004454343,0.002590956,0.023984484,0.073972003,0.001769884,0.072107632,0.023225846,-0.034705891,NA,-0.034539929,0.0078125,-0.025231792,-0.101851852,-0.034852577,-0.002355767,0.014732965,NA,0.025062615,0.03764479,0.059597775,0.027411215,0.08161889,0.023231306,-0.01704347,0.243902439,NA,0.045422241,NA,0.028163505,-0.007224667,-0.03888025,0.0242647,NA,0.027397297,-0.024419127,0.030072288,-0.008585894,-0.046612497,-0.069511548,0.006960919,-0.020514275,0.030130774,0.004649657,-0.008815886,NA,0.049195485,-0.006635042,NA,0.008680533,-0.05858857,-0.129924573,-0.018192349,-0.082644628
3/27/2001,-0.059203444,-0.040932444,-0.040590455,0.007408944,-0.059310387,-0.013447507,-0.041866325,-0.028515268,NA,-0.019666485,-0.059900791,NA,0.053385395,0.006211164,0.065903494,-0.031796472,-0.007836991,0.003019206,-0.031522328,-0.011563896,0.040825907,0.01390911,0.024390244,0.010609446,0.001133385,-0.130374358,-0.128268525,-0.120963686,-0.05498109,-0.130408252,NA,-0.005437855,-0.089147287,-0.114159287,-0.340206186,-0.215277744,-0.086658755,-0.165154265,NA,-0.162417037,-0.079069744,-0.042443049,-0.109025076,-0.118802604,-0.100103245,-0.058740263,0.039215686,NA,-0.122878447,NA,0.012496817,0.033546315,0.042475776,0.054199576,NA,0.044025157,0.035236862,0.019955688,-0.030225824,0.077316691,0.014421691,0.044418361,0.008849534,0.068211925,-0.020772793,-0.00721152,NA,0.016393448,0.000190807,NA,-0.009753303,0.07355028,-0.075144482,0.011764751,0.238738739
4/3/2001,0.038901619,-0.006315824,0.040865405,-0.034933586,0.064956019,-0.002478254,0.004737996,0.022267202,NA,0.017880499,0.050730521,NA,-0.043263287,0.017283954,-0.056765891,0.014778271,0.036018999,0.008079882,0.035325488,0.080779989,-0.003728561,-0.000571605,0.036536807,-0.029609751,0.024905655,0.079940969,0.107417901,0.12295392,0.09661059,0.150665701,NA,0.001438827,0.098893575,0.093406538,0.25,0.336283197,0.137538771,0.066782611,NA,0.191826542,0.09259259,0.041081059,0.124953832,0.093418237,0.108944958,0.137218029,0.086792424,NA,0.133900893,NA,-0.039022532,0.01579945,-0.024447073,0.019748039,NA,-0.014457794,-0.007276938,-0.009782625,0.002101189,-0.012664996,-0.152686927,-0.04013517,-0.038304133,-0.012915892,-0.027808379,0.035108978,NA,0.040062459,-0.02690326,NA,-0.023174949,-0.038208188,-0.044791697,0.011918599,0.108945424
4/10/2001,0.055506532,0.001540867,0.047805998,-0.03259951,0.0181055,-0.055900655,0.021220891,-0.042904266,NA,-0.041559525,-0.051757442,NA,0.009173115,0.016383523,0.030091124,-0.047330101,-0.020128083,0.001885886,0.062231794,0.003264581,-0.015718608,-0.005147277,0.003675263,-0.001386941,-0.011045627,0.06024372,0.077049764,0.027118618,0.04039912,0.104141235,NA,-0.051724117,0.060718803,0.029693995,0.142000008,0.084768129,0.056363626,0.059667425,NA,0.032190346,0.003081617,0.024576013,0.046335847,0.01974112,0.009307152,0.094214825,-0.002777775,NA,0.016040998,NA,0.018422394,-0.001859689,0.002386689,0.006343861,NA,0.001955941,0.014424228,0.042810102,0.026559505,0.043292433,-0.15704693,-0.033157306,0.007905204,0.00533866,0.048049747,0.025730958,NA,0,-0.01813724,NA,0.027283456,0.006027431,0.085059948,0.019247289,0.022035681
4/17/2001,0.016277183,0.048076923,0.044743281,0.04814006,0.025424265,-0.001315757,0.045407914,-0.04034483,NA,-0.038891408,0.017107946,NA,0.000256006,-0.003980115,-0.00284226,-0.008492521,0.029567405,0.01929417,0.021212106,0.05154996,0.001064634,0.025007155,0.014647091,-0.03611109,0.024571848,-0.018259903,0.046728973,0.008250825,0.02222224,0.055708785,NA,0.012121258,0.004672893,0.029724851,-0.049036814,0.024420119,0.002581733,0.049230722,NA,-0.006779687,-0.023963097,-0.026013529,-0.014447267,0.088543288,0.02459018,-0.090634388,0.00139279,NA,-0.018139097,NA,-0.016560548,0.029132747,0.021428531,-0.054412721,NA,0.006100537,-0.012121222,-0.043859649,-0.031829769,0.040983566,0.06807321,-0.023975748,0.022624433,0.159516863,-0.023193031,-0.020524464,NA,0.037185251,-0.02326512,NA,-0.065819827,-0.083605653,-0.100502514,-0.038895183,-0.040554365
4/24/2001,0.034907613,0.03577983,0.028059029,-0.011691051,0.007583312,-0.013175281,0.036809816,0.015810296,NA,-0.026046487,0.021625989,NA,0.023166585,0.01358642,0.038796467,-0.015417585,-0.015114872,-0.008925851,0.028288829,0.04022797,-0.001063502,0.000560865,-0.015748017,0.017291022,-0.018895365,0.013676149,0.028409092,0.031096589,0.017162471,0.042319822,NA,0.025449055,0.033720924,0.044808313,0.272559865,0.090583939,0.020386283,0.183284466,NA,0.018088761,0.03462381,0.04578563,-0.050350541,0.069387788,0.112600021,0.079734206,-0.025034746,NA,0.034553549,NA,0.073834259,0.08887435,-0.023310038,0.035087719,NA,0.021586209,0.073147673,0.163669691,0.107946541,-0.043799183,0.055907566,0.057524828,0.06696155,0.068875702,0.088017596,0.102444648,NA,0.058842441,0.11122467,NA,0.033683564,0.05750364,0.122905073,0.043988272,0.031032633
5/1/2001,-0.011904807,-0.013108976,-0.020110805,-0.018166468,-0.054319391,-0.008678182,-0.022485225,0.035019447,NA,0.012416439,0.003528034,NA,0.003252371,0.001379848,-0.001067068,0.030883036,-0.015039953,-0.002639723,-0.001442877,0.005166714,-0.026311838,0.014574004,0.005666669,-0.054532557,0.030370359,0.028062584,0.042146776,0.052381001,-0.045444329,0.006516248,NA,0.019854024,-0.013779574,-0.030927835,0.104196857,0.003278764,0.022082003,-0.011152341,NA,0.10459272,0.068451478,0.036484259,0.038590656,-0.026444962,0.01294261,0.057230788,0.09843075,NA,0.008597891,NA,0.01326898,-0.106559895,0.019888624,-0.030508462,NA,-0.00522311,0.001978895,-0.020182889,0.007616622,0.114770947,-0.110130634,0.025433747,-0.025435394,0.006048905,0.020097477,-0.017951394,NA,0.062101371,-0.181232727,NA,-0.009865525,0.012786338,-0.064676673,0.030056173,-0.183186331
5/8/2001,0.015060241,-0.011847062,-0.009842957,-0.027969003,0.021453329,0.030976433,0.013075083,0.040669874,NA,0.014150907,0.010937452,NA,-0.023067314,0.024015772,-0.033267211,0.037130765,0.004985972,-0.064611573,0.02369713,0.002024998,0.008903463,0.000552499,0.005634739,-0.011985064,0.011502506,-0.004199491,-0.00621018,0.012820489,-0.01225549,-0.02390436,NA,0.064987129,-0.001995999,-0.004468066,0.106159824,-0.019607876,0.011934195,0.006766833,NA,-0.034901411,0.064920349,-0.002559997,0.000969266,0.00336048,-0.005501288,-0.027066364,0.046753327,NA,0.014098371,NA,-0.012500036,0.002875963,0.019110756,0.05069926,NA,0.009546484,0.041255236,0.005471519,0.022834598,-0.012465395,0.020230077,0.034408624,0.038297829,-0.010855976,0.016417925,0.026666703,NA,0.022158729,0.048876387,NA,-0.021739053,0.054800178,0.019148969,0.023997849,0.000635339
5/15/2001,0.039564788,0.065213446,0.05795266,0.044710058,0.037262871,0.035271061,0.100621393,0.028571393,NA,0.034418594,-0.004250336,NA,-0.025398824,0.050557498,-0.014522465,0.003254676,0.000930195,0.029294245,0.079138082,0.120161597,0.063477417,0.021811073,0.015820684,-0.000454872,0.029140004,0.088982631,0.131839681,0.049888286,0.071343395,0.08061224,NA,-0.000806521,0.05142855,0.093182315,0.11966828,-0.028888914,0.061407085,0.088374489,NA,0.067924525,0.021390353,0.0105871,0.04131694,0.084565968,0.045681611,-0.032306366,0.120347303,NA,0.115421909,NA,0.003013864,-0.084008091,0.002296264,0.011980054,NA,0.060047304,0.044678586,0.04449428,0.024634429,0.060776119,-0.031492981,0.031877968,0.011748643,0.084001665,0.073421438,0.028697086,NA,-0.016083937,0.012319245,NA,0.059876498,0.030119702,0.001043865,0.020506004,0.00507936
